geometry,SPEED_LIMIT
"MULTILINESTRING ((285899.3916248509 5662122.361831326, 285963.1285453845 5662119.681599365, 286026.8650166672 5662116.991039485, 286090.6019617503 5662114.312386069, 286154.3389190361 5662111.634521925))",40.0
"MULTILINESTRING ((288362.7000680762 5648599.638536506, 288419.00882467616 5648597.225672453, 288422.8412840972 5648597.024507951, 288426.2072871948 5648596.597423493, 288429.47836393357 5648596.085134994, 288432.9730058537 5648595.363270345, 288436.7052584284 5648594.431256077, 288439.8129649365 5648593.535901348, 288443.71711023943 5648592.162576577, 288449.5133762802 5648589.754270975, 288454.8771868081 5648587.26342142, 288482.6529120209 5648574.291343157, 288485.2508936235 5648572.971414792, 288487.31037906837 5648571.383959977, 288489.20806917205 5648569.27973929, 288490.22979647457 5648567.601053996, 288491.3941774195 5648565.281807671, 288492.0266639965 5648563.028833839, 288492.47181370313 5648560.839191747, 288492.5232477907 5648558.654498443, 288492.3433924526 5648556.4903896535, 288491.87812787236 5648554.571789811, 288491.11540124624 5648552.431493063, 288489.7671851574 5648549.04564868, 288466.2336833287 5648488.00367442))",40.0
"MULTILINESTRING ((276429.37925627385 5661751.227873359, 276437.3731451543 5661759.646668811, 276445.06704321766 5661767.621833737, 276458.54766517645 5661781.672360508, 276465.5644870818 5661789.086606528, 276475.24460198986 5661799.1698358925, 276480.8530564342 5661805.019045008, 276489.6445114078 5661814.517109677, 276492.8775522008 5661817.863072298))",40.0
"MULTILINESTRING ((275916.0758532417 5659967.867503403, 275915.74721238075 5659961.109983622, 275915.55338845844 5659954.8700852515, 275915.23560777947 5659948.524193223, 275914.9021826817 5659940.363515971, 275914.52817242494 5659931.915018422, 275914.36815283686 5659926.453299358, 275913.8168755196 5659915.216909157, 275913.48109363933 5659905.3856615685, 275913.0580206298 5659897.262292394, 275912.54671344964 5659883.228573534, 275911.9362895745 5659870.468871845, 275911.42374930286 5659857.214854432, 275910.6938168943 5659841.542235687, 275910.1890632226 5659826.851101888, 275909.09942713846 5659801.604446517, 275908.5740203138 5659790.1553158155, 275908.4752989288 5659787.0744283255, 275908.6520239565 5659784.839188152, 275909.2279445139 5659782.742537448, 275910.1375766799 5659780.731631721, 275911.38381805987 5659778.873172214, 275912.5640690144 5659777.59674599, 275913.9864478715 5659776.398905462, 275915.6509547147 5659775.279650832, 275917.6312826619 5659774.480813402, 275919.38734978915 5659774.014714269, 275921.59697861073 5659773.807360764, 275926.57443154335 5659773.63571957, 275933.6191786415 5659773.374295013, 275937.09551882534 5659773.234447844, 275950.07806188054 5659771.957788698))",40.0
"MULTILINESTRING ((292686.50185964536 5659011.346483996, 292679.77523279056 5659016.015197607, 292675.76014804817 5659018.637425937, 292672.44038558146 5659020.9199303705, 292670.4857115642 5659023.459375203, 292668.9552135668 5659026.772384326, 292667.92673563585 5659030.699935062, 292667.641234849 5659035.299156899, 292667.5519055963 5659040.937215982, 292669.1956001817 5659061.404691743))",50.0
"MULTILINESTRING ((286226.7582007501 5660993.418803473, 286228.98861705384 5661042.481941889))",40.0
"MULTILINESTRING ((272556.1644968912 5669337.312253582, 272553.7025182772 5669342.656255722, 272549.09330449114 5669352.695447169, 272544.72079706704 5669362.222940267, 272537.5796202447 5669377.7651904905))",40.0
"MULTILINESTRING ((287235.2625719876 5645617.28412075, 287245.0974492791 5645598.651059028, 287256.42464996304 5645575.391086504, 287269.2948958996 5645550.453117041, 287278.4264584275 5645530.969281701))",50.0
"MULTILINESTRING ((284054.40196843736 5663277.271871242, 284055.8028915698 5663321.414599834))",40.0
"MULTILINESTRING ((281222.5063352197 5664658.060340198, 281336.92913466867 5664813.932307056, 281301.8263150242 5664840.169373274))",40.0
"MULTILINESTRING ((279758.1552750366 5649588.363033693, 279772.5256657803 5649588.35295313, 279804.47917505837 5649586.469996802))",40.0
"MULTILINESTRING ((295851.343955297 5658027.155677917, 295851.1442960587 5658021.930199046, 295850.95431081404 5658016.94930411))",
"MULTILINESTRING ((291326.045539637 5644585.632305434, 291346.6567060695 5644563.256093363, 291347.7072774592 5644561.899857319, 291348.9746863965 5644560.334460749, 291351.235999107 5644557.4039750295, 291352.704270639 5644555.407358444, 291354.06636187 5644553.570908378, 291355.28189515346 5644551.940790549))",40.0
