CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
16 AVE NW,5 ST NW,RSM,PARKING STALLS,6,PAINT,E,POINT (-114.08130604284372 51.06727641297475)
144 AVE NW,37 ST NW,RSM,STOP LINE,1,PAINT,S,POINT (-114.14111928809288 51.1831099606199)
SYMONS VALLEY RD NW,144 AVE NW,RSM,STOP LINE,1,PAINT,W,POINT (-114.13499902937271 51.18319156789337)
75 AVE SW,7 ST SW,MULTIWAY STOP,STOP LINE,4,PAINT,NSEW,POINT (-114.08128908263517 50.98601632264809)
37 ST NW,3 AV NW,SIGNALIZED,RIGHT TURN,1,PAINT,E,POINT (-114.14117612481596 51.06009319728565)
56 ST NE,28 AVE  NE,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.95217868789409 51.076895851193434)
CENTRE ST N,BLACKTHORN RD NE,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.06243904172544 51.10720890353025)
CRESTMONT BLVD SW,SOUTH OF 16 AVE SW,MID BLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.25438174278803 51.088040883571885)
69 ST SW,SPRINGBOROUGH BLVD SW,SIGNALIZED,RIGHT TURN,2,PAINT,EW,POINT (-114.18756009871487 51.035506569008824)
COUNTRY HILLS BLVD NE,HARVEST HILLS GATE NE,SIGNAL,RIGHT TURN,1,PAINT,S,POINT (-114.04801635162947 51.15424584529118)
CRANFORD DR SE,CRANARCH CLOSE,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.97329903858339 50.877230726636974)
BEDDINGTON BLVD NE,BEDDINGTON DR NE,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.06277220826087 51.12517650263958)
PANATELLA BLVD NW,PANATELLA ST NW,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-114.09079753318558 51.16289570563292)
LAKE BONAVISTA DR SE,LAKE CRIMSON DR SE,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.03853091938737 50.93338792813213)
37 ST SW,15 AVE SW,RSM,STOP LINE,1,PAINT,W,POINT (-114.1412297227906 51.03968468262231)
SOUTHLAND DR SW,HORTON RD SW,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.07460727661982 50.96504429236161)
FISH CREEK BLVD SW,EVERBROOK DR SW,RSM,LADDER CROSSWALK,1,PAINT,N,POINT (-114.110034347283 50.91825650809923)
11 ST SE,21 AVE SE,REGULAR,STOP LINE,6,PAINT,NSE,POINT (-114.03672949104643 51.034084060648695)
2 AVE SW,5 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.07346066282551 51.05152211639884)
MACEWAN DR NW,MACEWAN PARK RD NW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.11453202588753 51.1354973675309)
NORTHMOUNT DR NW,HENDON DR NW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.0785740149061 51.095316333502794)
OLD BANFF COACH RD SW,89 ST SW,SIGNALIZED,STOP LINE,4,PAINT,NSEW,POINT (-114.21678020635387 51.06695355510654)
SIERRA MORENA RD SW,34 AVE SW,MULTIWAY STOP,RIGHT TURN,1,PAINT,S,POINT (-114.18431467423518 51.023292712392724)
