CROSSWALK_TYPE,CROSSWALK_COMP,POINT,geometry
SIGNALIZED,STOP LINE,POINT (-113.99851726756907 51.00870023001894),POINT (289654.5327171183 5655072.167406605)
RSM,REGULAR CROSSWALK,POINT (-114.09008680220036 51.18406654938202),POINT (284051.2592418188 5674833.38011403)
REGULAR,LADDER CROSSWALK,POINT (-114.16022700759768 51.06957552989327),POINT (278603.4949946018 5662313.854119532)
REGULAR,REGULAR CROSSWALK,POINT (-114.08580715289287 51.0323984513926),POINT (283642.78519942163 5657959.6011679415)
RSM,REGULAR CROSSWALK,POINT (-114.07149941173338 51.07614727973246),POINT (284848.7258469461 5662781.275558398)
REGULAR,REGULAR CROSSWALK,POINT (-114.11056003409736 51.14729165429604),POINT (282447.73613833595 5670805.410840366)
REGULAR,REGULAR CROSSWALK,POINT (-114.07558800514003 50.94509296622554),POINT (283953.9254117613 5648223.84264028)
DOWNTOWN,REGULAR CROSSWALK,POINT (-114.0811311152659 51.047970274748224),POINT (284043.03142325254 5659677.006635419)
SCHOOL,LADDER CROSSWALK,POINT (-113.9286905803438 50.914168099411526),POINT (294134.3504872017 5644365.673755178)
SIGNAL,RIGHT TURN,POINT (-114.09626852838036 50.98815030641457),POINT (282702.63030566525 5653071.315879355)
SIGNAL,REGULAR CROSSWALK,POINT (-114.03645034450109 51.1001087538029),POINT (287413.29642073216 5665343.249585485)
RSM,LADDER CROSSWALK,POINT (-114.20506552462533 51.059666476238114),POINT (275414.93784266606 5661348.127288984)
SIGNALIZED,RIGHT TURN,POINT (-114.105512175643 50.90673363598718),POINT (281672.69683573185 5644047.595655579)
SCHOOL,LADDER CROSSWALK,POINT (-114.10676454317442 51.14044643307562),POINT (282680.972371137 5670033.190436617)
SCHOOL,LADDER CROSSWALK,POINT (-114.20740385561145 51.056422032259206),POINT (275235.40193893586 5660994.585370898)
SIGNALIZED,STOP LINE,POINT (-114.13543944462349 51.04011854001951),POINT (280200.15870073554 5658964.845829898)
MULTIWAYS,REGULAR CROSSWALK,POINT (-114.10933920258363 51.02319001029528),POINT (281949.9707626655 5657005.303623253)
REGULAR,RIGHT TURN,POINT (-114.08608232458072 51.08149996870035),POINT (283852.395343189 5663419.077483489)
MULTIWAYS,REGULAR CROSSWALK,POINT (-114.03770880501436 51.05324633103535),POINT (287110.11405336915 5660137.079463428)
SIGNAL,RIGHT TURN,POINT (-113.98167404821037 51.05523330164862),POINT (291045.3623222139 5660197.426550338)
SIGNALIZED,REGULAR CROSSWALK,POINT (-114.21099761909356 51.0596607635101),POINT (274999.32821014477 5661365.609648738)
SCHOOL,LADDER CROSSWALK,POINT (-114.17965329431333 51.04863589733226),POINT (277142.25498347834 5660044.636833058)
SCHOOL,LADDER CROSSWALK,POINT (-114.03280444416067 50.924128966563025),POINT (286862.8216651293 5645768.765281477)
SCHOOL,LADDER CROSSWALK,POINT (-113.9270892362594 51.116643973502406),POINT (295141.56873466005 5666871.233785246)
REGULAR,REGULAR CROSSWALK,POINT (-114.07713690656306 50.95872329075818),POINT (283908.4057655659 5649743.663410773)
SCHOOL,LADDER CROSSWALK,POINT (-113.94129272818637 51.128633691933004),POINT (294201.0095860135 5668243.846733892)
DOWNTOWN,REGULAR CROSSWALK,POINT (-114.05791874643892 51.04825200034179),POINT (285670.96645669197 5659640.4917601)
CORRIDOR,RIGHT TURN,POINT (-114.09250307137903 50.914037485576664),POINT (282621.1442833295 5644821.1338870935)
RSM,REGULAR CROSSWALK,POINT (-114.21218478602309 51.085892279218726),POINT (275043.47702261613 5664285.356087137)
REGULAR,REGULAR CROSSWALK,POINT (-114.14978025797004 51.10555909589847),POINT (279506.4977233071 5666282.773783387)
REGULAR,REGULAR CROSSWALK,POINT (-114.12193354362226 50.9975116025732),POINT (280945.92490404996 5654188.00995838)
SCHOOL,LADDER CROSSWALK,POINT (-113.97720768576573 51.0409263069645),POINT (291293.97256513615 5658594.202848161)
MID BLOCK,"""X"" RRXING",POINT (-113.9973421754992 51.00400234235327),POINT (289715.69501606154 5654546.53771139)
RSM,LADDER CROSSWALK,POINT (-114.02562877919937 50.86409228304367),POINT (287093.2612374085 5639073.766623194)
SCHOOL,LADDER CROSSWALK,POINT (-113.9314096134069 51.076976846821836),POINT (294663.51515398937 5662473.2851385595)
SIGNALIZED,REGULAR CROSSWALK,POINT (-114.16293977424625 51.162588895315515),POINT (278858.2801683493 5672662.327159233)
DOWNTOWN,STOP X,POINT (-114.07331539269065 51.030583828681195),POINT (284510.0310722884 5657721.238644016)
SIGNALIZED,REGULAR CROSSWALK,POINT (-113.95839374441924 50.95781139697175),POINT (292241.5020056723 5649300.909517808)
REGULAR,REGULAR CROSSWALK,POINT (-114.16691572181064 51.0305124945067),POINT (277948.1423618826 5657991.392230891)
SCHOOL,STOP LINE,POINT (-113.93664986421253 50.9218604844601),POINT (293609.0248495321 5645243.097395897)
