SEGMENT_ID,BUILT_STATUS,FULL_NAME,SPEED_LIMIT,CTP_CLASS,MULTILINESTRING,geometry
52244,Built,THORNCLIFFE DR NW,40.0,Collector,"MULTILINESTRING ((-114.0652592 51.10574, -114.065261 51.1061126))","MULTILINESTRING ((285422.8384760545 5666052.931486412, 285424.43893539265 5666094.359493959))"
49564,Built,MIDRIDGE CR SE,40.0,Residential Street,"MULTILINESTRING ((-114.0575509 50.9186515, -114.0574469 50.9186515, -114.0573295 50.9186516, -114.0572108 50.9186511, -114.0571396 50.9186517, -114.0570281 50.9186517, -114.0569265 50.9186518, -114.0567671 50.9186511, -114.0566805 50.9186519, -114.0566279 50.9186524, -114.0565813 50.9186536, -114.0565471 50.9186554, -114.0565053 50.918658))","MULTILINESTRING ((285098.7965723618 5645231.645518292, 285106.1048321386 5645231.342496379, 285114.3551941721 5645231.01156064, 285122.69414421206 5645230.610148758, 285127.7002569735 5645230.469419165, 285135.5355553053 5645230.14458887, 285142.6756244722 5645229.859727321, 285153.8737135173 5645229.317568291, 285159.9629327252 5645229.1542441705, 285163.6615302729 5645229.056612314, 285166.94172297296 5645229.054278725, 285169.3533107948 5645229.154767297, 285172.30264996144 5645229.322056107))"
103293,Built,TUSCANY WY NW,50.0,Collector,"MULTILINESTRING ((-114.2457147 51.1237035, -114.2457126 51.123772, -114.2457117 51.1238192, -114.2457102 51.123853000000004, -114.2457094 51.1238708, -114.2457078 51.1238853, -114.2457051 51.1238999, -114.2456975 51.123925, -114.2456875 51.1239501, -114.24567730000001 51.1239706, -114.2456708 51.1239836, -114.245658 51.124006, -114.2456442 51.1240324))","MULTILINESTRING ((272881.3523390045 5668591.810343049, 272881.8354438371 5668599.4188875025, 272882.13005967473 5668604.663252899, 272882.4008849559 5668608.416109574, 272882.5442126191 5668610.392434985, 272882.7273112093 5668611.999434063, 272882.9878551615 5668613.614152562, 272883.6427295726 5668616.3810046185, 272884.4655042715 5668619.140444238, 272885.2796938338 5668621.387891942, 272885.7982270558 5668622.813004811, 272886.8036328562 5668625.263642393, 272887.8986276324 5668628.155864983))"
181681,Built,DOVERCREST WY SE,40.0,Residential Street,"MULTILINESTRING ((-113.9927257 51.0171572, -113.992823 51.0171795, -113.99428680000001 51.0171768))","MULTILINESTRING ((290098.93951392034 5655995.8278117, 290092.2172231128 5655998.58424886, 289989.55786832643 5656002.456773729))"
719689,Built,84 AV NE,50.0,Residential Street,"MULTILINESTRING ((-113.9762155 51.1288706, -113.9748381 51.12887220000001, -113.9747728 51.1288805, -113.9747047 51.1288966, -113.97468 51.1289058, -113.97465940000001 51.1289157, -113.9746426 51.128929))","MULTILINESTRING ((291759.0315607232 5668368.494337738, 291855.3948242081 5668364.772761159, 291860.00022196124 5668365.510688112, 291864.83657581836 5668367.1078553535, 291866.60584486515 5668368.060753798, 291868.0914463005 5668369.103078776, 291869.32651081914 5668370.534152066))"
806877,Built,STONEY TR SE,,Skeletal Road,"MULTILINESTRING ((-113.9269969 50.9486415, -113.9271181 50.9486573, -113.9276503 50.9487768, -113.9286403 50.9491265, -113.9294817 50.9494148))","MULTILINESTRING ((294405.52223786537 5648193.44892888, 294397.0803327618 5648195.543439566, 294360.2325457006 5648210.312862461, 294292.25143810443 5648251.951765909, 294234.4358372217 5648286.350838467))"
190061,Built,72 AV SE,,Industrial Arterial,"MULTILINESTRING ((-113.9575223 50.9895076, -113.9575865 50.9895242, -113.9576224 50.9895321, -113.9576707 50.98954340000001, -113.95771760000001 50.9895504, -113.9577604 50.9895565, -113.95780880000001 50.98956, -113.9578705 50.9895604))","MULTILINESTRING ((292444.1185929495 5652822.204988011, 292439.6880204965 5652824.2312990585, 292437.2043193941 5652825.210691127, 292433.8657358539 5652826.603002333, 292430.60619406344 5652827.513328576, 292427.6303167287 5652828.312051454, 292424.24990581 5652828.8375022495, 292419.92245113594 5652829.055787275))"
237606,Built,10 ST NE,50.0,Residential Street,"MULTILINESTRING ((-114.0419141 51.1210029, -114.0419687 51.1210529, -114.0420202 51.1211, -114.04205010000001 51.1211272, -114.0420908 51.1211645, -114.04215540000001 51.1212237, -114.0421792 51.1212451, -114.0422073 51.1212709, -114.0422272 51.1212871, -114.0422488 51.1213011, -114.0422719 51.1213139, -114.0422946 51.1213244, -114.04232500000002 51.12133560000001, -114.0423597 51.1213461, -114.0423827 51.1213511, -114.0424087 51.1213555, -114.0424342 51.12135870000001, -114.042459 51.1213605, -114.0424946 51.121361300000004, -114.0425449 51.121361, -114.0425923 51.121360900000006))","MULTILINESTRING ((287126.9269133771 5667681.9123419495, 287123.33672872034 5667687.6290252125, 287119.95010879915 5667693.014336723, 287117.98323099257 5667696.124786958, 287115.30717908 5667700.389346061, 287111.05968020915 5667707.157775592, 287109.4929269576 5667709.605769093, 287107.6455612832 5667712.555371165, 287106.327759244 5667714.413977239, 287104.88089744997 5667716.032924372, 287103.3235686013 5667717.52280662, 287101.78364749136 5667718.755833772, 287099.7082123569 5667720.088972576, 287097.32870667777 5667721.3567391, 287095.7424991738 5667721.979185628, 287093.9436355808 5667722.543613627, 287092.17423515 5667722.973187323, 287090.44737083773 5667723.245093104, 287087.9602793396 5667723.437092386, 287084.43963512406 5667723.549359605, 287081.1228108582 5667723.675468077))"
295735,Built,17 AV SE,,Urban Boulevard,"MULTILINESTRING ((-113.9930514 51.0377712, -113.9930095 51.0377583, -113.9929677 51.03774550000001))","MULTILINESTRING ((290169.25804501644 5658288.469343268, 290172.13662138535 5658286.9158136565, 290175.0086421253 5658285.373687939))"
35342,Built,GORDON DR SW,40.0,Residential Street,"MULTILINESTRING ((-114.15026770000001 51.0116454, -114.1515072 51.0116498, -114.1515092 51.0112011))","MULTILINESTRING ((279025.4509073005 5655843.881718732, 278938.54575389146 5655848.090271487, 278936.27073871356 5655798.214744829))"
78938,Built,ROSSMERE RD SW,40.0,Residential Street,"MULTILINESTRING ((-114.1492639 51.047654, -114.1493398 51.0475558, -114.1494819 51.0473731, -114.1495662 51.0472634))","MULTILINESTRING ((279267.0857273465 5659843.92121413, 279261.29987506545 5659833.231946079, 279250.47301313776 5659813.347363906, 279244.0437520111 5659801.404852323))"
654609,Built,ARBOUR CREST DR NW,50.0,Collector,"MULTILINESTRING ((-114.2084076 51.1351282, -114.2084115 51.1355194, -114.20841530000001 51.1359106, -114.2084175 51.1361275))","MULTILINESTRING ((275546.76205559773 5669747.323297309, 275548.3874644022 5669790.824651977, 275550.0198824691 5669834.325703326, 275550.91846828465 5669858.445052886))"
37987,Built,76 AV SE,50.0,Collector,"MULTILINESTRING ((-114.0087522 50.9850439, -114.00806320000001 50.9850425))","MULTILINESTRING ((288829.2697685041 5652471.523902476, 288877.6120036788 5652469.393979611))"
104819,Built,VALLEY RIDGE BV NW,50.0,Collector,"MULTILINESTRING ((-114.2497159 51.092333100000005, -114.2496975 51.0922712, -114.2496821 51.0922229, -114.24965810000002 51.0921296, -114.2496441 51.0920732, -114.2496326 51.0920237, -114.2496286 51.0920003))","MULTILINESTRING ((272447.3138818451 5665116.790417447, 272448.2979646048 5665109.852215755, 272449.13883029844 5665104.435176075, 272450.36073121015 5665093.988984062, 272451.0638096692 5665087.675815863, 272451.62576350593 5665082.137438455, 272451.7908595775 5665079.523739193))"
101423,Built,EDGEBROOK DR NW,50.0,Collector,"MULTILINESTRING ((-114.1351296 51.13060920000001, -114.1352041 51.130556, -114.1352646 51.1305177, -114.1353323 51.1304705, -114.1353999 51.1304322, -114.1354747 51.1303961, -114.1356101 51.1303286, -114.1367564 51.1298289))","MULTILINESTRING ((280650.6073590343 5669023.799680899, 280645.1438474544 5669018.107625031, 280640.73027156387 5669014.030257437, 280635.7708492768 5669008.984951232, 280630.860610213 5669004.928772727, 280625.4571508992 5669001.138655085, 280615.66579260834 5668994.03857379, 280533.111171989 5668941.907084231))"
40273,Built,CROYDON RD NW,40.0,Residential Street,"MULTILINESTRING ((-114.0843794 51.085814000000006, -114.084453 51.0857695, -114.0848174 51.085467, -114.0851817 51.0851645, -114.0855456 51.0848601, -114.08593070000002 51.0845429))","MULTILINESTRING ((283991.75053396856 5663893.673861024, 283986.38973294816 5663888.942798492, 283959.46471182187 5663856.383277681, 283932.54636697215 5663823.82359589, 283905.6468452582 5663791.051646214, 283877.2028686272 5663756.919102635))"
