INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,Count,id,Point,geometry
Northbound Edmonton Trail and Memorial Drive NE,Single vehicle incident. Blocking the right lane,2019/12/13 06:46:00 AM,,,-114.0503355,51.05060185,1,2019-12-13T06:46:0651.05060185177274-114.05033553745902,POINT (-114.0503355 51.05060185),POINT (286213.19590712874 5659879.679064888)
 Eastbound Glenmore Trail and Blackfoot Trail SE ,Multi-vehicle incident.  Blocking the right lanes,2022/08/22 08:07:16 AM,2022/08/22 08:12:08 AM,SE,-114.0606612403034,50.993795992833945,1,2022-08-22T08:07:1650.993795992833945-114.06066124030339,POINT (-114.06066124030339 50.993795992833945),POINT (285227.1455109223 5653594.543889348)
 Westbound 64 Avenue approaching Deerfoot Trail NE ,Traffic incident. Blocking the right lane,2024/01/16 07:18:36 PM,2024/01/16 07:56:54 PM,NE,-114.0449751462776,51.11154146463032,1,2024-01-16T19:18:3651.111541464630314-114.04497514627761,POINT (-114.04497514627761 51.111541464630314),POINT (286869.2023058506 5666638.922808422)
 Southbound Metis Trail approaching Country Hills Boulevard NE ,Multi-vehicle incident. Blocking the right lane,2023/12/26 11:44:19 AM,2023/12/26 11:45:26 AM,NE,-113.9702667786281,51.15885101226751,1,2023-12-26T11:44:1951.158851012267505-113.9702667786281,POINT (-113.9702667786281 51.158851012267505),POINT (292309.8508709051 5671684.731943713)
32 Avenue and 19 Street NE,Traffic incident.,2022/03/04 04:21:00 PM,2022/03/04 04:33:00 PM,NE,-114.0122478,51.08154534,1,2022-03-04T16:21:2751.08154533666355-114.01224775217476,POINT (-114.0122478 51.08154534),POINT (289022.91810000816 5663209.837846824)
Southbound 52 Street at Whitehorn Drive NE,Two vehicle incident. Blocking the left lane,2019/03/12 04:15:00 PM,2019/03/12 04:44:00 PM,NE,-113.9584978,51.08593312,1,2019031216152051.0859331241825-113.958497833992,POINT (-113.9584978 51.08593312),POINT (292806.4594108615 5663544.919377117)
Northbound 52 Street at Glenmore Trail SE,Single vehicle incident. Blocking a NB to WB left turn lane,2022/02/03 04:27:00 PM,2022/02/03 04:33:00 PM,SE,-113.9584778,50.97940392,1,2022-02-03T16:27:5550.9794039237406-113.9584778086101,POINT (-113.9584778 50.97940392),POINT (292331.97059593385 5651701.642604262)
Eastbound Memorial Drive at Deerfoot Trail SE,Two vehicle incident. Blocking the left lane.,2018/02/06 06:41:00 AM,2018/02/06 07:51:00 AM,SE,-114.0185167,51.04790972,1,2018-02-06T06:41:3751.0479097212866-114.018516694352,POINT (-114.0185167 51.04790972),POINT (288430.55053288565 5659488.469107946)
26 Avenue and 36 Street SE,Two vehicle incident.,2020/10/24 12:01:00 PM,,,-113.9816957,51.03052225,1,2020-10-24T12:01:3551.03052224540802-113.98169566757466,POINT (-113.9816957 51.03052225),POINT (290932.57199574064 5657450.283293212)
Eastbound Memorial Drive and 12 Street NE,Multi-vehicle incident. Blocking the left lane,2018/11/15 02:03:00 PM,2018/11/15 02:50:00 PM,NE,-114.0337718,51.04772364,1,2018111514032851.0477236377406-114.033771767773,POINT (-114.0337718 51.04772364),POINT (287360.6685112306 5659511.732162513)
