UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1109986160,0483,2015/06/12,2016/09/16,11-245,,600x1350,Flat Sheet,Active,,POINT (-114.0741857 51.039796)
1109775807,B2781,2014/03/04,2019/05/16,,,,Flat Sheet,Active,,POINT (-114.0708099 51.1174963)
1109714654,0735,1989/01/01,2012/07/20,,,,Flat Sheet,As-built,,POINT (-114.0293694 50.9411801)
1109745145,6012,2014/03/01,2015/12/04,,,,Other,Active,Pedestal,POINT (-114.0203249 51.0558895)
1109801625,0596,2014/08/07,2015/04/24,,,,Flat Sheet,As-built,,POINT (-114.0525505 50.9937426)
1109768223,1101,2013/10/17,2014/02/13,11-250,KRMS,,Flat Sheet,Active,,POINT (-113.9576508 50.9165372)
1110077164,1015,2017/10/26,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1969592 51.1542101)
1109626959,0494,2020/12/02,2020/12/07,11-250,KRMS,600x750,Flat Sheet,Active,Pedestal,POINT (-114.2109842 51.0594918)
1110335462,1043,2023/12/18,2023/12/19,,Train,,LED,Active,Arm,POINT (-114.0613304 51.0160256)
1110303151,B2514,2021/01/18,2021/04/13,14-320,TAC Pedestrian Crosswalk,900x1200,Other,Active,Arm,POINT (-114.0758307 51.1115973)
1110009740,B2585,2013/09/24,2019/07/09,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.1022882 51.0576832)
1110111267,0268,2018/07/23,2019/05/28,11-647,Turn Control - Thru + Left,900x900,Flat Sheet,As-built,Arm,POINT (-114.0317578 51.0474608)
1110006538,0944,2005/07/07,2016/07/25,17-110,YOSG,750X900,Flat Sheet,As-built,Pedestal,POINT (-114.0639039 51.1469428)
1109653361,1049,2012/08/23,2020/01/30,11-244,One way - Arrow Left,450x1350,Flat Sheet,As-built,Arm,POINT (-113.9498145 51.1252348)
