YEAR,Section,Section Name,Volume,Shape Length,multilinestring
2022,City Section,14STSW1,53000,668.310727423,"MULTILINESTRING ((-114.09472673764071 50.9881122497017, -114.09472620940079 50.988149430240604, -114.09472626298897 50.98817505928383, -114.09473006198051 50.98886238027854, -114.09472997751548 50.98893144645225, -114.09473412389428 50.98929954841737, -114.0947751971426 50.98973753154791, -114.09481944259494 50.990214323806434, -114.09488546121972 50.9907561873157, -114.094895371017 50.99106851973539, -114.09490632357483 50.99168115256146, -114.09495821315582 50.991832728166465, -114.0949895959112 50.992002035753, -114.09500167072433 50.99221543340315, -114.09500038365655 50.9925736849329, -114.09499906331806 50.99304612510597, -114.09500422390941 50.99369553885674, -114.09501238824814 50.99379975023784, -114.09503054088636 50.99388843797224, -114.09503447087049 50.99390646294909, -114.0950584806384 50.993983037532544, -114.0951023526612 50.99405206247988, -114.09513399420565 50.99410030572777))"
2022,City Section,14STSW1A,45000,955.976755728,"MULTILINESTRING ((-114.0947063493858 50.97951826939913, -114.0947073098309 50.97962498067544, -114.09471287182532 50.98024285926975, -114.0947145892665 50.980746828025445, -114.09471954526416 50.98151329905051, -114.09472132438417 50.98237506297278, -114.09472476338937 50.983242735336084, -114.0947282195862 50.984146074703744, -114.09472066628226 50.985182926295664, -114.09471920331454 50.98599604745262, -114.09472049436165 50.98662274874976, -114.094718875234 50.98753970859358, -114.0947283223575 50.988000708982575, -114.09472673764071 50.9881122497017))"
2022,City Section,14STSW2,42500,815.458602908,"MULTILINESTRING ((-114.0950197120699 50.97219743184582, -114.09501080986324 50.97229914572911, -114.0949882045253 50.9724860234873, -114.09498654758198 50.97324638697447, -114.09498281923207 50.97451442655196, -114.09498504981013 50.97576982938012, -114.09497735012907 50.97676159495718, -114.09496187415729 50.977039392712236, -114.0949366463416 50.97725637042342, -114.09485437663469 50.9777338588675, -114.09479718035827 50.978009663213406, -114.0947526421177 50.97819826840464, -114.09470521997234 50.97855004237113, -114.09470356765799 50.9788508553682, -114.0947063493858 50.97951826939913))"
2022,City Section,14STSW3,31000,1191.69085162,"MULTILINESTRING ((-114.09511320905241 50.96148713335718, -114.09513065964158 50.96155532075199, -114.09513232433203 50.961583498125755, -114.09516667478987 50.96190662249236, -114.09517353667667 50.962123558491484, -114.09516724348424 50.962184998547265, -114.09515795340225 50.962350113044316, -114.09514525603224 50.96241731811875, -114.0951485085458 50.96356783621892, -114.095150875217 50.96388875524554, -114.09513803233726 50.96493182948121, -114.09511680102023 50.966398195084714, -114.09509592962289 50.96791804156418, -114.09507154814494 50.96932876807716, -114.09505316551088 50.97070271278312, -114.0950197120699 50.97219743184582))"
2022,City Section,14STSW4,23000,1214.77387361,"MULTILINESTRING ((-114.09468490720269 50.950590873587146, -114.09468138181523 50.950968362444804, -114.09467317613498 50.9512319928456, -114.0946687228233 50.95142669927831, -114.09466585604149 50.95190429704498, -114.0946558884005 50.95216664507541, -114.09466577945513 50.9527269393188, -114.09466354851267 50.953342426793796, -114.09466530552665 50.9541596671595, -114.09466704292932 50.95501555399724, -114.0946633862449 50.95579732267791, -114.09466668808668 50.95658109844591, -114.09467362475826 50.957421304176364, -114.09466990688914 50.95811623134247, -114.0946645952021 50.95895853062969, -114.09465881418433 50.95956992453786, -114.09466962694748 50.95971082475157, -114.09467503395375 50.959790325854364, -114.09469274110424 50.95989992854385, -114.0947140058033 50.96003904567204, -114.09474405684377 50.960200125101984, -114.09480568775717 50.96044643698366, -114.09493760523644 50.96098738399812, -114.09507554862361 50.96138113306086, -114.09511320905241 50.96148713335718))"
2022,City Section,16AV/TCH10B,40000,346.381824494,"MULTILINESTRING ((-114.06745109601006 51.066976787261204, -114.06657293747409 51.06697347992928, -114.06499434156696 51.066978799290034, -114.06420201838644 51.066978081051005, -114.06250914896572 51.066976529062465))"
2022,City Section,16AV/TCH11,41000,180.999816507,"MULTILINESTRING ((-114.06250914896572 51.066976529062465, -114.06176796077499 51.06697712261802, -114.06121324953463 51.06697756363336, -114.06056756474993 51.06697807345913, -114.05992674372187 51.066978576326306))"
2022,City Section,16AV/TCH11B,43000,264.097123749,"MULTILINESTRING ((-114.05992674372187 51.066978576326306, -114.05761478057309 51.06698035715283, -114.05615875157127 51.066981454057725))"
2022,City Section,16AV/TCH12,44000,548.666924361,"MULTILINESTRING ((-114.05615875157127 51.066981454057725, -114.05325102206672 51.066983590590326, -114.05154709085585 51.06698547897531, -114.0507908337406 51.06698534074134, -114.05008562201681 51.0669858293067, -114.04833067371736 51.06698702741833))"
2022,City Section,16AV/TCH13,50000,1548.99513541,"MULTILINESTRING ((-114.04833067371736 51.06698702741833, -114.04804103140972 51.066977454115296, -114.04773603460086 51.06697760872546, -114.0476300907566 51.06699072835648, -114.04748985737771 51.0670089724705, -114.04727884095055 51.06702807211758, -114.04702908470493 51.067048014027634, -114.04660571853648 51.067062237179954, -114.04619679968792 51.06706244444237, -114.0449230751718 51.067062233370955, -114.04330945466273 51.067063322381166, -114.04246144881117 51.06705024242379, -114.04206153714013 51.067045751911486, -114.0409375451366 51.067044484241954, -114.04042076714967 51.067059479995955, -114.03998749935235 51.06706127502002, -114.03970039898677 51.06706795782992, -114.039243592143 51.06707430058345, -114.03869677599175 51.06707569468474, -114.03801074492044 51.067068586869205, -114.03746230188581 51.06705531891992, -114.03680493617007 51.06705548548404, -114.03484947486201 51.067055949048815, -114.03407431257857 51.067065955662336, -114.03349876136639 51.06708078870349, -114.03310115023987 51.06710031971659, -114.03248491307443 51.06713349377, -114.03215926228472 51.06714088074936, -114.03194738863395 51.06716415653905, -114.03131565104466 51.06720588326038, -114.03071879322287 51.06724270880878, -114.03066137737446 51.06724210179527, -114.02999337631499 51.0672878393825, -114.02930543907442 51.06733323654304, -114.0293001775566 51.067333810505694, -114.02914687542183 51.06734299944345, -114.02855126685607 51.06737989631756, -114.02811752691719 51.06740639789952, -114.0279798849794 51.06741414408619, -114.02772989762671 51.067425203448074, -114.02764903941123 51.067426126065286, -114.02750509811113 51.06742892345485, -114.02718921634096 51.06743144165035, -114.02686558010737 51.06743151647572, -114.02654194037733 51.06742547920911, -114.02627143445562 51.06741398495633))"
2022,City Section,16AV/TCH14,69000,860.388092835,"MULTILINESTRING ((-114.01402454728158 51.06703727435465, -114.01636448445446 51.067038936257276, -114.01903701786577 51.06704331140758, -114.02013119019226 51.06705781636953, -114.02088699125042 51.06708212855826, -114.02170481593275 51.06712597965212, -114.02234822651513 51.06716496989995, -114.02346198162817 51.0672576179537, -114.02412090626005 51.06731126202213, -114.02463793568704 51.06734353329057, -114.02540399198605 51.06738054532309, -114.02581747734438 51.06739727176365, -114.02627143445562 51.06741398495633))"
2022,City Section,16AV/TCH17,63000,1123.80627247,"MULTILINESTRING ((-113.95808817678545 51.067106318944035, -113.95858512283168 51.06710586677878, -113.96085826148757 51.067102038286926, -113.96331080008835 51.06710441593871, -113.96478674230585 51.067105449686366, -113.96624092806664 51.0671045284298, -113.9677488047402 51.06709814266673, -113.97070904062406 51.06709208251962, -113.97218190427465 51.06708972020991, -113.97412201236338 51.06709025029462))"
2022,City Section,16AV/TCH18,60000,1616.20961488,"MULTILINESTRING ((-113.93502897618633 51.06709161140871, -113.935214477595 51.067092865042405, -113.93615512864645 51.067094520662934, -113.9369648259313 51.067094820737516, -113.93782678205609 51.06709311313535, -113.94129887195344 51.06709425466455, -113.94741879745915 51.0670938827656, -113.95166029651227 51.06710609404853, -113.95294629768874 51.06710619264568, -113.95542622916773 51.06710621613802, -113.95808817678545 51.067106318944035))"
2022,City Section,16AV/TCH19,51000,994.853347748,"MULTILINESTRING ((-113.93502570754228 51.06682661930988, -113.93468834682204 51.06682394476146, -113.93434755201181 51.06682124303864, -113.93400675867022 51.06681853942418, -113.93271372139132 51.06679299433428, -113.93219732469903 51.066791555165835, -113.93168092804098 51.066790113716245, -113.93114886257304 51.0667793087727, -113.93061684580037 51.066767589880676, -113.93008488203186 51.06675495884133, -113.92955297558042 51.06674141475901, -113.92902112932948 51.0667269585352, -113.92848934759053 51.06671159017336, -113.92795763467502 51.066695309677, -113.92742599346917 51.06667811614988, -113.92672495380668 51.066677810072356, -113.92602391558314 51.066677500690574, -113.92565336921695 51.066677438215656, -113.92528282427969 51.066677374567064, -113.92491227791653 51.06667731064199, -113.92454173298384 51.06667724464429, -113.92417118805345 51.06667717747207, -113.9238006416972 51.0666771100233, -113.92343009677153 51.066677040501965, -113.92305955042147 51.06667696980512, -113.92268900550057 51.066676897934684, -113.92231846058063 51.06667682578864, -113.92194791423789 51.066676751568146, -113.92157736932438 51.06667667617403, -113.92120682298513 51.066676600503385, -113.92083627807666 51.066676522760176))"
2022,City Section,16AV/TCH1A,25000,3063.53110572,"MULTILINESTRING ((-114.24937001169016 51.08862397264274, -114.25306544858105 51.08865032530278, -114.2542618588729 51.08862982572537, -114.25635206005803 51.08864171348094, -114.25970288489222 51.08864087196699, -114.26225950729098 51.088645356728435, -114.26543076749859 51.08865216209939, -114.2682983942618 51.08864782280312, -114.26900638325274 51.088651130428914, -114.26906710602691 51.0886502310724), (-114.26828028464666 51.08864831833818, -114.2707137070233 51.08866431057268, -114.27208529091905 51.08867172646775, -114.27450130901558 51.08866607905442, -114.27500146316356 51.088664903712505, -114.27899553473321 51.08867669805551, -114.28068576004436 51.08868175278156, -114.28860283255912 51.08870055210436, -114.28953279720129 51.08870173905222, -114.29022732785475 51.08869700192102, -114.29092185835503 51.08869226156324, -114.29161638869071 51.088687516180975, -114.29231091886722 51.08868276667317))"
2022,City Section,16AV/TCH3,65000,1622.54665687,"MULTILINESTRING ((-114.1889334989256 51.08031811633135, -114.18982826038214 51.0805647877131, -114.19021460285981 51.080670285732374, -114.1905127705511 51.08075281460473, -114.19078009617178 51.08082759359645, -114.1911673167894 51.08093317602999, -114.19151409110756 51.08102899501757, -114.19182300815399 51.081114157591315, -114.1923556137487 51.08125654575372, -114.19274545155048 51.08135724174525, -114.19348573738905 51.081547354532006, -114.19381949496697 51.08162231686255, -114.19412311502047 51.08168626827339, -114.19436614934219 51.08172798296067, -114.19464816864414 51.08177423765904, -114.19493214862503 51.081815532393705, -114.19524119134148 51.08185389440261, -114.19554751493949 51.081885633844735, -114.19585511076919 51.08191200530811, -114.1961639840264 51.0819315623334, -114.19657033639234 51.08194921967703, -114.19688989737344 51.081956390601505, -114.19796085466837 51.08196473955798, -114.19844058551469 51.08196814063589, -114.1991182097362 51.081973716387765, -114.20010239408627 51.081980540278714, -114.20090764097864 51.08198771026359, -114.20135150094625 51.081996403819524, -114.20179436709391 51.082016757928905, -114.20201486856713 51.08203321211433, -114.20245402440824 51.08207477411113, -114.20288973332131 51.082128833408404, -114.20310609259217 51.08216029830983, -114.20332135574013 51.08219462163965, -114.2036750457697 51.08225804943281, -114.2037680349705 51.08227629737732, -114.20413680678112 51.08235541235769, -114.20441046525914 51.082419921555875, -114.20477391811589 51.082508298708035, -114.2052316546924 51.08261271856318, -114.20575157170899 51.082725087365176, -114.20623793999815 51.08283654035625, -114.20651100502253 51.082902059719274, -114.20695554471828 51.083019946500904, -114.2073381001649 51.08312222666291, -114.20759262931897 51.08319111873443, -114.20772298911407 51.083226349705804, -114.20784701444718 51.08326018850331, -114.20801921074582 51.08329777287432, -114.20851518332753 51.08342102792733, -114.20882393517628 51.08349768387583, -114.20912906981668 51.08357526062889, -114.2092476363845 51.08360497964041, -114.20927337994713 51.083611640766954, -114.21046966990775 51.08391533678405, -114.21089658531713 51.08402973881608, -114.21102586861203 51.084064452036564))"
2022,City Section,16AV/TCH4,34000,1934.80450176,"MULTILINESTRING ((-114.16440491709282 51.07271913543412, -114.164416658086 51.07276551924535, -114.16445630564442 51.07283972017557, -114.16453416742768 51.07292061767751, -114.164707156807 51.07305682959065, -114.1650164786662 51.07324810315652, -114.1652518808733 51.07339751471117, -114.16540970124166 51.07349605861374, -114.16562899612155 51.07361841073337, -114.16587503162222 51.073755061267946, -114.16617454073278 51.07391712376895, -114.16667939766597 51.0741581343707, -114.1670271224348 51.074314634119865, -114.1674320847624 51.074471288197934, -114.16789632727057 51.07464466557935, -114.16837137425037 51.07480588676862, -114.16880693702348 51.07493893540421, -114.1692190352024 51.07505394799545, -114.16967579785383 51.07516745506583, -114.17013956852904 51.075284635926145, -114.17028825842074 51.075323254913826, -114.17036979570614 51.07533832869917, -114.1704283272397 51.075345345243576, -114.1705005188424 51.07534635559985, -114.17320306363058 51.07607117913433, -114.17604217554074 51.076831989110275, -114.17653474680691 51.07696525478963, -114.17731975234487 51.077174307795794, -114.17810068505857 51.077384496230835, -114.18105870898597 51.078175657924206, -114.18113259410623 51.07822324636821, -114.18117753708717 51.07824103025276, -114.18136221907118 51.07829331291249, -114.1819927794661 51.07846491709292, -114.18240797778114 51.078572095056714, -114.18266752263719 51.07864211144949, -114.18327111960845 51.07881356476985, -114.18412247947056 51.07904314251433, -114.18478940186947 51.079229400337496, -114.18497511938111 51.07927953070867, -114.1852662676462 51.07935643046167, -114.18632157092938 51.07963401806037, -114.18679573633874 51.07975749891407, -114.1870287317382 51.07981706515852, -114.1889334989256 51.08031811633135))"
2022,City Section,16AV/TCH4A,31000,1202.21150147,"MULTILINESTRING ((-114.16440491709282 51.07271913543412, -114.1639025755883 51.072339797742536, -114.16324415549244 51.07184782284369, -114.16274076930517 51.07147238310036, -114.16222310799941 51.071098500015864, -114.16113663632923 51.07027140038616, -114.1601511438187 51.0695335395695, -114.1595504818869 51.069083794339136, -114.15888974059503 51.06858904790153, -114.15796182385179 51.067894223678344, -114.15777686127412 51.06776170002486, -114.15756720229527 51.06761989693163, -114.15731567082922 51.06746597236207, -114.15707383564433 51.06732421167441, -114.15678690697474 51.067170332618694, -114.15650325226606 51.06703268567862, -114.15634526270574 51.06696282233192, -114.15612311779657 51.06686514581795, -114.15578339490686 51.066729280037904, -114.15552316760275 51.06663817156074, -114.15537687180083 51.0665884192958, -114.15520619369444 51.06653277230916, -114.15506926365813 51.06649412928793, -114.15489672671002 51.06644345382434, -114.15476663833256 51.0664048013825, -114.15469399644262 51.06638384184334, -114.15459594810619 51.06639477717881, -114.15454951859707 51.06639065566145, -114.15445330910605 51.066371961969764, -114.15427083050258 51.0663324693262, -114.15403858775318 51.06628258515666, -114.15372106095441 51.06621828174349, -114.15344903395923 51.066168448711764, -114.15299130495299 51.06610630950197, -114.15252034738496 51.066054641688126, -114.15225836428253 51.06603406955825, -114.15222184809227 51.066028616312956, -114.15193672260347 51.066019846515424, -114.15171787364767 51.06600967303115))"
2022,City Section,16AV/TCH5B,27000,524.718704764,"MULTILINESTRING ((-114.12190316462578 51.067593060757595, -114.12227859008942 51.06767722040188, -114.12277793074496 51.06779651086407, -114.12303336740338 51.067855801774044, -114.12334953138874 51.06792806942337, -114.12376585927207 51.068021285891646, -114.12415541298158 51.06810778074658, -114.12462094406834 51.068213277568454, -114.1248835660096 51.06825439757667, -114.12522571047302 51.06830082835326, -114.12543100290172 51.0683305871147, -114.12579665043965 51.06838118469496, -114.12607151992022 51.06841525441267, -114.12622577615763 51.068436291960154, -114.12636266474364 51.06846539206324, -114.12647521415013 51.0684888503348, -114.12681743403598 51.068521460998205, -114.12711947619077 51.06854534220659, -114.12742661883043 51.068562761570774, -114.12769534420255 51.06856892384319, -114.12798964865351 51.06857021564223, -114.12843719498888 51.0685744956184, -114.12902555923073 51.06857114270671, -114.12915676301397 51.068569061438815))"
2022,City Section,16AV/TCH6,35000,682.505974257,"MULTILINESTRING ((-114.11228989084425 51.067056203575554, -114.1125352072434 51.06705491497994, -114.11428245648457 51.067051242162066, -114.11538477359841 51.06704929091518, -114.11650533239435 51.06704765090571, -114.1175152106722 51.06704585076985, -114.11762379636237 51.067045896184176, -114.11832438400003 51.06704690978216, -114.11833330919139 51.06704893242056, -114.11859959365324 51.0670501728355, -114.11879759149625 51.067058826646544, -114.11892117463339 51.067067556746856, -114.11914220708631 51.0670855025676, -114.11931038538455 51.06710220291479, -114.11950280438957 51.06712503079429, -114.11967416192344 51.06714787902143, -114.11983007735701 51.06717162921228, -114.11999302171613 51.06719891392318, -114.12011664670179 51.06722358145907, -114.12019671783627 51.06723855331223, -114.1205224331824 51.067288572873764, -114.12070581827416 51.06732635346642, -114.12096550483989 51.067380929410604, -114.12118637658507 51.067428794655, -114.1216340391424 51.067530316090306, -114.12190316462578 51.067593060757595))"
